Station,Lon,Lat,data
57964,111.09,25.3,164.1
58718,116.32,27.13,163.8333333
57978,112.33,25.17,163.5666667
56835,97.49,24.04,163.5
58646,119.55,28.27,163.5
58819,116.48,26.1,163.1666667
58730,118.02,27.46,162.5666667
58734,118.07,27.2,162.4
57867,111.17,26.24,162.3
58719,116.56,27.18,162
56973,102.5,23.37,161.9666667
57799,114.55,27.03,161.8
58569,121.57,29.12,161.5333333
57876,112.51,26.24,161.5
56674,101.44,26.3,161.4333333
57866,111.37,26.14,161.3333333
57872,112.36,26.54,161
58629,117.42,28.19,160.9
58818,116.38,26.14,160.8666667
57874,112.24,26.25,160.7333333
57962,111.39,25.58,160.7333333
57870,112.06,26.48,160.5333333
56665,101.51,26.41,160.5
58627,117.02,28.15,160.4666667
58820,117.1,26.54,160.4333333
58562,121.34,29.52,160.3
57796,114.56,27.48,160.1333333
58625,117.36,28.25,160.1333333
57887,113.07,26.08,159.9666667
57882,113.33,26.47,159.9333333
58477,122.06,30.02,159.7
58647,119.08,28.04,159.6666667
57981,113.13,25.59,159.5666667
59022,107.33,24.59,159.5333333
56670,102.07,26.54,159.3333333
58715,116.39,27.35,159.3333333
56944,99.16,23.09,159.1333333
57973,112.43,25.45,158.9666667
57886,113.47,26.3,158.7
59057,110.11,24.08,158.6666667
58705,115.25,27.2,158.5666667
58617,116.22,28,158.4666667
58624,117.26,28.24,158.4
57875,112.3,26.53,158.2
58367,121.26,31.12,158.1333333
58725,117.28,27.2,158.0333333
58693,115.5,28.42,157.9666667
56962,101.41,23.26,157.9
57583,113.55,29.59,157.7666667
57789,113.57,27.08,157.7333333
58467,121.16,30.12,157.7333333
58652,120.43,28.51,157.7333333
58608,115.33,28.04,157.7
56856,100.52,24.28,157.5666667
58519,116.41,29,157.4666667
58623,117.55,28.28,157.1
58612,116.41,28.42,157
58712,116.47,27.55,156.9666667
58558,120.13,29.16,156.8666667
58614,116.16,28.23,156.5
56851,100.32,25.03,156.4666667
58606,115.55,28.36,156.1
57871,112.22,26.59,155.9
58557,120.04,29.19,155.9
58701,115.24,27.46,155.8666667
56995,104.25,23.02,155.8333333
57777,112.52,27.14,155.8
58635,118.12,28.26,155.8
58568,121.23,29.07,155.7333333
58724,117.18,27.31,155.7
58643,120.02,28.54,155.6666667
58549,119.39,29.07,155.6
57779,113.21,27,155.5666667
58361,121.22,31.06,155.5666667
57780,113.1,27.52,155.3333333
57921,107.19,25.5,155.3333333
58605,115.23,28.25,155.3
57881,113.15,26.43,155.2
58731,118.32,27.55,155.2
59012,106.33,24.47,155.2
57891,114.15,26.56,155.1666667
58567,121.26,29.19,155.1333333
58607,115.57,28.33,154.9
57699,114.55,28.14,154.8
58618,116.36,28.14,154.8
58822,116.51,26.5,154.7666667
57798,114.36,27.24,154.7333333
58704,115.21,27.37,154.6666667
58468,121.1,30.03,154.6333333
57679,113.05,28.12,154.2333333
58714,116.13,27.33,154.2
57763,112,27.44,154.1333333
57883,113.58,26.43,154.1
58615,117.05,28.41,154.0666667
